"항목","내외국인별","출입국항별","시점","성별",데이터
"출국자","외국인","인천공항","2001","남자",44548
"출국자","외국인","인천공항","2001","여자",28348
"출국자","외국인","인천공항","2002","남자",58784
"출국자","외국인","인천공항","2002","여자",38709
"출국자","외국인","인천공항","2003","남자",81678
"출국자","외국인","인천공항","2003","여자",52410
"출국자","외국인","인천공항","2004","남자",75996
"출국자","외국인","인천공항","2004","여자",47702
"출국자","외국인","인천공항","2005","남자",144938
"출국자","외국인","인천공항","2005","여자",84737
"출국자","외국인","인천공항","2006","남자",89168
"출국자","외국인","인천공항","2006","여자",56476
"출국자","외국인","인천공항","2007","남자",75387
"출국자","외국인","인천공항","2007","여자",51843
"출국자","외국인","인천공항","2008","남자",104242
"출국자","외국인","인천공항","2008","여자",70362
"출국자","외국인","인천공항","2009","남자",117883
"출국자","외국인","인천공항","2009","여자",83405
"출국자","외국인","인천공항","2010","남자",89995
"출국자","외국인","인천공항","2010","여자",73782
"출국자","외국인","인천공항","2011","남자",99311
"출국자","외국인","인천공항","2011","여자",77592
"출국자","외국인","인천공항","2012","남자",320930
"출국자","외국인","인천공항","2012","여자",248427
"출국자","외국인","인천공항","2013","남자",117888
"출국자","외국인","인천공항","2013","여자",98025
"출국자","외국인","인천공항","2014","남자",115103
"출국자","외국인","인천공항","2014","여자",103756
"출국자","외국인","인천공항","2015","남자",130335
"출국자","외국인","인천공항","2015","여자",109977
"출국자","외국인","인천공항","2016","남자",140489
"출국자","외국인","인천공항","2016","여자",115002
"출국자","외국인","인천공항","2017","남자",151742
"출국자","외국인","인천공항","2017","여자",124441
"출국자","외국인","인천공항","2018","남자",160929
"출국자","외국인","인천공항","2018","여자",130711
"출국자","외국인","인천공항","2019","남자",186041
"출국자","외국인","인천공항","2019","여자",155902
"출국자","외국인","인천공항","2020","남자",177105
"출국자","외국인","인천공항","2020","여자",140424
"출국자","외국인","인천공항","2021","남자",138749
"출국자","외국인","인천공항","2021","여자",112458
"출국자","외국인","인천공항","2022","남자",124034
"출국자","외국인","인천공항","2022","여자",106797
"출국자","외국인","인천공항","2023","남자",148900
"출국자","외국인","인천공항","2023","여자",130769
